temperature,city,pression,date
295.7,Paris,1025,2023-10-06 14:25
294.37,London,1023,2023-10-06 14:25
283.28,Washington,1027,2023-10-06 14:25
295.7,Paris,1025,2023-10-06 14:24
294.37,London,1023,2023-10-06 14:24
283.28,Washington,1027,2023-10-06 14:24
295.7,Paris,1025,2023-10-06 14:23
294.37,London,1023,2023-10-06 14:23
283.28,Washington,1027,2023-10-06 14:23
295.7,Paris,1025,2023-10-06 14:22
294.37,London,1023,2023-10-06 14:22
283.28,Washington,1027,2023-10-06 14:22
295.7,Paris,1025,2023-10-06 14:21
294.37,London,1023,2023-10-06 14:21
283.28,Washington,1027,2023-10-06 14:21
295.41,Paris,1025,2023-10-06 14:20
294.37,London,1023,2023-10-06 14:20
283.28,Washington,1027,2023-10-06 14:20
295.41,Paris,1025,2023-10-06 14:19
294.37,London,1023,2023-10-06 14:19
283.28,Washington,1027,2023-10-06 14:19
295.41,Paris,1025,2023-10-06 14:15
294.37,London,1023,2023-10-06 14:15
283.28,Washington,1027,2023-10-06 14:15
295.3,Paris,1026,2023-10-06 14:09
294.34,London,1023,2023-10-06 14:09
283.36,Washington,1027,2023-10-06 14:09
295.3,Paris,1026,2023-10-06 14:05
294.34,London,1023,2023-10-06 14:05
283.36,Washington,1027,2023-10-06 14:05
292.93,Paris,1026,2023-10-06 12:02
292.43,London,1024,2023-10-06 12:02
284.21,Washington,1028,2023-10-06 12:02
292.82,Paris,1026,2023-10-06 11:53
292.43,London,1024,2023-10-06 11:53
284.85,Washington,1028,2023-10-06 11:53
292.82,Paris,1026,2023-10-06 11:49
292.03,London,1024,2023-10-06 11:49
284.85,Washington,1028,2023-10-06 11:49
290.96,Paris,1027,2023-10-06 10:31
290.67,London,1024,2023-10-06 10:31
285.55,Washington,1027,2023-10-06 10:31
287.5,Paris,1026,2023-10-05 20:33
287.33,London,1024,2023-10-05 20:33
295.17,Washington,1024,2023-10-05 20:33
288.43,Paris,1026,2023-10-05 19:27
287.72,London,1024,2023-10-05 19:27
292.89,Washington,1025,2023-10-05 19:27
290.92,Paris,1026,2023-10-05 19:21
290.06,London,1024,2023-10-05 19:21
289.15,Washington,1026,2023-10-05 19:21
288.66,Paris,1026,2023-10-05 19:20
287.74,London,1024,2023-10-05 19:20
292.89,Washington,1025,2023-10-05 19:20
288.66,Paris,1026,2023-10-05 19:19
287.81,London,1024,2023-10-05 19:19
292.76,Washington,1025,2023-10-05 19:19
288.66,Paris,1026,2023-10-05 19:11
287.96,London,1024,2023-10-05 19:11
292.76,Washington,1025,2023-10-05 19:11
